semester,collegeCode,collegeName,departmentCode,departmentName,departmentLevel,subNum,subNam,teaNam,subPoint,subTime,subClassroom,subKind,subGde,langTpe,note,teaSchmUrl,subRemainUrl,rawJson,fetchedAtUtc
1051,01,整開／通識課程／校級選修,105,管理學,整開,000348001,管理學,董珮如,3.0,二D56,資訊140206,必修,企管系,中文,＠備註:國貿二甲優先，第一堂課務必出席，缺席者請自行退課。,https://newdoc.nccu.edu.tw/teaschm/1051/schmPrv.jsp-yy=105&smt=1&num=000348&gop=00&s=1.html,https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=6473414571447768327168544B38415A2B36545968413D3D,"{""core"":""否"",""emiType"":""否"",""far"":""無資料"",""gdeTpe"":""是"",""gdeTpeMsg"":""(適用於108學年度前入學的學生)"",""gdeType"":""學士班"",""info"":""＠異動資訊:教師異動於2016/11/16);"",""isTrace"":""0"",""langTpe"":""中文"",""lmtKind"":""社會通識"",""note"":""＠備註:國貿二甲優先，第一堂課務必出席，缺席者請自行退課。"",""pay"":""免費"",""s"":""1"",""smtQty"":""單學期科目"",""subClassroom"":""資訊140206"",""subGde"":""企管系"",""subKind"":""必修"",""subLocUrl"":""https://sgnweb.nccu.edu.tw/mnccuqa/NCCU_MAP-gh-pages/NCCU_MAP-gh-pages/index.html?roomid=140206"",""subNam"":""管理學"",""subNum"":""000348001"",""subOdr"":""213"",""subPoint"":""3.0"",""subRemainUrl"":""https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=6473414571447768327168544B38415A2B36545968413D3D"",""subSetUrl"":""https://newdoc.nccu.edu.tw/teaschm/1051/setC.jsp-yy=105&smt=1&num=000348&gop=00&s=1&willtpe=1.htm"",""subTime"":""二D56"",""subUnitRuleUrl"":""https://newdoc.nccu.edu.tw/generalcourse/emptyforqry.htm"",""teaExpUrl"":""https://newdoc.nccu.edu.tw/teaschm/1051/teaExpC.jsp-yy=105&smt=1&num=000348&gop=00&s=1.htm"",""teaNam"":""董珮如"",""teaSchmUrl"":""https://newdoc.nccu.edu.tw/teaschm/1051/schmPrv.jsp-yy=105&smt=1&num=000348&gop=00&s=1.html"",""tranTpe"":""必修灌檔"",""y"":""105""}",2026-08-26T17:51:35+00:00
1051,01,整開／通識課程／校級選修,105,管理學,整開,000348011,管理學,翁正銓,3.0,三EFG,商館260312,必修,企管系,中文,＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之必修生優先。,https://newdoc.nccu.edu.tw/teaschm/1051/schmPrv.jsp-yy=105&smt=1&num=000348&gop=01&s=1.html,https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=647341457144776832716A6255647A4F355856765A673D3D,"{""core"":""否"",""emiType"":""否"",""far"":""無資料"",""gdeTpe"":""是"",""gdeTpeMsg"":""(適用於108學年度前入學的學生)"",""gdeType"":""學士班"",""info"":""＠異動資訊:教室異動於2016/09/20;"",""isTrace"":""0"",""langTpe"":""中文"",""lmtKind"":""社會通識"",""note"":""＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之必修生優先。"",""pay"":""免費"",""s"":""1"",""smtQty"":""單學期科目"",""subClassroom"":""商館260312"",""subGde"":""企管系"",""subKind"":""必修"",""subLocUrl"":""https://sgnweb.nccu.edu.tw/mnccuqa/NCCU_MAP-gh-pages/NCCU_MAP-gh-pages/index.html?roomid=260312"",""subNam"":""管理學"",""subNum"":""000348011"",""subOdr"":""318"",""subPoint"":""3.0"",""subRemainUrl"":""https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=647341457144776832716A6255647A4F355856765A673D3D"",""subSetUrl"":""https://newdoc.nccu.edu.tw/teaschm/1051/setC.jsp-yy=105&smt=1&num=000348&gop=01&s=1&willtpe=1.htm"",""subTime"":""三EFG"",""subUnitRuleUrl"":""https://newdoc.nccu.edu.tw/generalcourse/emptyforqry.htm"",""teaExpUrl"":""https://newdoc.nccu.edu.tw/teaschm/1051/teaExpC.jsp-yy=105&smt=1&num=000348&gop=01&s=1.htm"",""teaNam"":""翁正銓"",""teaSchmUrl"":""https://newdoc.nccu.edu.tw/teaschm/1051/schmPrv.jsp-yy=105&smt=1&num=000348&gop=01&s=1.html"",""tranTpe"":""一般"",""y"":""105""}",2026-08-26T17:51:35+00:00
1051,01,整開／通識課程／校級選修,105,管理學,整開,000348021,管理學,曾威智,3.0,三D56,研究250103,必修,企管系,中文,＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之必修生優先。,https://newdoc.nccu.edu.tw/teaschm/1051/schmPrv.jsp-yy=105&smt=1&num=000348&gop=02&s=1.html,https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=647341457144776832716A42545657556833324B39513D3D,"{""core"":""否"",""emiType"":""否"",""far"":""無資料"",""gdeTpe"":""是"",""gdeTpeMsg"":""(適用於108學年度前入學的學生)"",""gdeType"":""學士班"",""info"":""＠異動資訊:教室異動於2016/09/19;"",""isTrace"":""0"",""langTpe"":""中文"",""lmtKind"":""社會通識"",""note"":""＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之必修生優先。"",""pay"":""免費"",""s"":""1"",""smtQty"":""單學期科目"",""subClassroom"":""研究250103"",""subGde"":""企管系"",""subKind"":""必修"",""subLocUrl"":""https://sgnweb.nccu.edu.tw/mnccuqa/NCCU_MAP-gh-pages/NCCU_MAP-gh-pages/index.html?roomid=250103"",""subNam"":""管理學"",""subNum"":""000348021"",""subOdr"":""313"",""subPoint"":""3.0"",""subRemainUrl"":""https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=647341457144776832716A42545657556833324B39513D3D"",""subSetUrl"":""https://newdoc.nccu.edu.tw/teaschm/1051/setC.jsp-yy=105&smt=1&num=000348&gop=02&s=1&willtpe=1.htm"",""subTime"":""三D56"",""subUnitRuleUrl"":""https://newdoc.nccu.edu.tw/generalcourse/emptyforqry.htm"",""teaExpUrl"":""https://newdoc.nccu.edu.tw/teaschm/1051/teaExpC.jsp-yy=105&smt=1&num=000348&gop=02&s=1.htm"",""teaNam"":""曾威智"",""teaSchmUrl"":""https://newdoc.nccu.edu.tw/teaschm/1051/schmPrv.jsp-yy=105&smt=1&num=000348&gop=02&s=1.html"",""tranTpe"":""一般"",""y"":""105""}",2026-08-26T17:51:35+00:00
1051,01,整開／通識課程／校級選修,105,管理學,整開,000348031,管理學,成力庚,3.0,一D56,資訊140306,必修,企管系,中文,＠備註:國貿二乙優先，第一堂課務必出席，缺席者請自行退課。,https://newdoc.nccu.edu.tw/teaschm/1051/schmPrv.jsp-yy=105&smt=1&num=000348&gop=03&s=1.html,https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=64734145714477683271676C4E5A526D3944516C57773D3D,"{""core"":""否"",""emiType"":""否"",""far"":""無資料"",""gdeTpe"":""是"",""gdeTpeMsg"":""(適用於108學年度前入學的學生)"",""gdeType"":""學士班"",""info"":""＠異動資訊:教室異動於2016/09/13;"",""isTrace"":""0"",""langTpe"":""中文"",""lmtKind"":""社會通識"",""note"":""＠備註:國貿二乙優先，第一堂課務必出席，缺席者請自行退課。"",""pay"":""免費"",""s"":""1"",""smtQty"":""單學期科目"",""subClassroom"":""資訊140306"",""subGde"":""企管系"",""subKind"":""必修"",""subLocUrl"":""https://sgnweb.nccu.edu.tw/mnccuqa/NCCU_MAP-gh-pages/NCCU_MAP-gh-pages/index.html?roomid=140306"",""subNam"":""管理學"",""subNum"":""000348031"",""subOdr"":""113"",""subPoint"":""3.0"",""subRemainUrl"":""https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=64734145714477683271676C4E5A526D3944516C57773D3D"",""subSetUrl"":""https://newdoc.nccu.edu.tw/teaschm/1051/setC.jsp-yy=105&smt=1&num=000348&gop=03&s=1&willtpe=1.htm"",""subTime"":""一D56"",""subUnitRuleUrl"":""https://newdoc.nccu.edu.tw/generalcourse/emptyforqry.htm"",""teaExpUrl"":""https://newdoc.nccu.edu.tw/teaschm/1051/teaExpC.jsp-yy=105&smt=1&num=000348&gop=03&s=1.htm"",""teaNam"":""成力庚"",""teaSchmUrl"":""https://newdoc.nccu.edu.tw/teaschm/1051/schmPrv.jsp-yy=105&smt=1&num=000348&gop=03&s=1.html"",""tranTpe"":""必修灌檔"",""y"":""105""}",2026-08-26T17:51:35+00:00
1051,01,整開／通識課程／校級選修,105,管理學,整開,000348041,管理學,周文卿,3.0,四234,逸仙050101,必修,企管系,中文,＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之必修生優先。,https://newdoc.nccu.edu.tw/teaschm/1051/schmPrv.jsp-yy=105&smt=1&num=000348&gop=04&s=1.html,https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=647341457144776832716A2B384F65787353726157773D3D,"{""core"":""否"",""emiType"":""否"",""far"":""無資料"",""gdeTpe"":""是"",""gdeTpeMsg"":""(適用於108學年度前入學的學生)"",""gdeType"":""學士班"",""info"":""＠異動資訊:教室異動於2016/09/06;"",""isTrace"":""0"",""langTpe"":""中文"",""lmtKind"":""社會通識"",""note"":""＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之必修生優先。"",""pay"":""免費"",""s"":""1"",""smtQty"":""單學期科目"",""subClassroom"":""逸仙050101"",""subGde"":""企管系"",""subKind"":""必修"",""subLocUrl"":""https://sgnweb.nccu.edu.tw/mnccuqa/NCCU_MAP-gh-pages/NCCU_MAP-gh-pages/index.html?roomid=050101"",""subNam"":""管理學"",""subNum"":""000348041"",""subOdr"":""409"",""subPoint"":""3.0"",""subRemainUrl"":""https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=647341457144776832716A2B384F65787353726157773D3D"",""subSetUrl"":""https://newdoc.nccu.edu.tw/teaschm/1051/setC.jsp-yy=105&smt=1&num=000348&gop=04&s=1&willtpe=1.htm"",""subTime"":""四234"",""subUnitRuleUrl"":""https://newdoc.nccu.edu.tw/generalcourse/emptyforqry.htm"",""teaExpUrl"":""https://newdoc.nccu.edu.tw/teaschm/1051/teaExpC.jsp-yy=105&smt=1&num=000348&gop=04&s=1.htm"",""teaNam"":""周文卿"",""teaSchmUrl"":""https://newdoc.nccu.edu.tw/teaschm/1051/schmPrv.jsp-yy=105&smt=1&num=000348&gop=04&s=1.html"",""tranTpe"":""一般"",""y"":""105""}",2026-08-26T17:51:35+00:00
1051,01,整開／通識課程／校級選修,105,管理學,整開,000348051,管理學,林芝樺,3.0,二D56,學思040202,必修,企管系,中文,＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外必修生優先。,https://newdoc.nccu.edu.tw/teaschm/1051/schmPrv.jsp-yy=105&smt=1&num=000348&gop=05&s=1.html,https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=64734145714477683271694A2B612F443555616F77673D3D,"{""core"":""否"",""emiType"":""否"",""far"":""無資料"",""gdeTpe"":""是"",""gdeTpeMsg"":""(適用於108學年度前入學的學生)"",""gdeType"":""學士班"",""info"":""＠異動資訊:無"",""isTrace"":""0"",""langTpe"":""中文"",""lmtKind"":""社會通識"",""note"":""＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外必修生優先。"",""pay"":""免費"",""s"":""1"",""smtQty"":""單學期科目"",""subClassroom"":""學思040202"",""subGde"":""企管系"",""subKind"":""必修"",""subLocUrl"":""https://sgnweb.nccu.edu.tw/mnccuqa/NCCU_MAP-gh-pages/NCCU_MAP-gh-pages/index.html?roomid=040202"",""subNam"":""管理學"",""subNum"":""000348051"",""subOdr"":""213"",""subPoint"":""3.0"",""subRemainUrl"":""https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=64734145714477683271694A2B612F443555616F77673D3D"",""subSetUrl"":""https://newdoc.nccu.edu.tw/teaschm/1051/setC.jsp-yy=105&smt=1&num=000348&gop=05&s=1&willtpe=1.htm"",""subTime"":""二D56"",""subUnitRuleUrl"":""https://newdoc.nccu.edu.tw/generalcourse/emptyforqry.htm"",""teaExpUrl"":""https://newdoc.nccu.edu.tw/teaschm/1051/teaExpC.jsp-yy=105&smt=1&num=000348&gop=05&s=1.htm"",""teaNam"":""林芝樺"",""teaSchmUrl"":""https://newdoc.nccu.edu.tw/teaschm/1051/schmPrv.jsp-yy=105&smt=1&num=000348&gop=05&s=1.html"",""tranTpe"":""一般"",""y"":""105""}",2026-08-26T17:51:35+00:00
1051,01,整開／通識課程／校級選修,105,管理學,整開,000348061,管理學,林智偉,3.0,二234,學思040107,必修,企管系,中文,＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之必修生優先。,https://newdoc.nccu.edu.tw/teaschm/1051/schmPrv.jsp-yy=105&smt=1&num=000348&gop=06&s=1.html,https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=647341457144776832716A65725445692F52364844673D3D,"{""core"":""否"",""emiType"":""否"",""far"":""無資料"",""gdeTpe"":""是"",""gdeTpeMsg"":""(適用於108學年度前入學的學生)"",""gdeType"":""學士班"",""info"":""＠異動資訊:無"",""isTrace"":""0"",""langTpe"":""中文"",""lmtKind"":""社會通識"",""note"":""＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之必修生優先。"",""pay"":""免費"",""s"":""1"",""smtQty"":""單學期科目"",""subClassroom"":""學思040107"",""subGde"":""企管系"",""subKind"":""必修"",""subLocUrl"":""https://sgnweb.nccu.edu.tw/mnccuqa/NCCU_MAP-gh-pages/NCCU_MAP-gh-pages/index.html?roomid=040107"",""subNam"":""管理學"",""subNum"":""000348061"",""subOdr"":""209"",""subPoint"":""3.0"",""subRemainUrl"":""https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=647341457144776832716A65725445692F52364844673D3D"",""subSetUrl"":""https://newdoc.nccu.edu.tw/teaschm/1051/setC.jsp-yy=105&smt=1&num=000348&gop=06&s=1&willtpe=1.htm"",""subTime"":""二234"",""subUnitRuleUrl"":""https://newdoc.nccu.edu.tw/generalcourse/emptyforqry.htm"",""teaExpUrl"":""https://newdoc.nccu.edu.tw/teaschm/1051/teaExpC.jsp-yy=105&smt=1&num=000348&gop=06&s=1.htm"",""teaNam"":""林智偉"",""teaSchmUrl"":""https://newdoc.nccu.edu.tw/teaschm/1051/schmPrv.jsp-yy=105&smt=1&num=000348&gop=06&s=1.html"",""tranTpe"":""一般"",""y"":""105""}",2026-08-26T17:51:35+00:00
1051,01,整開／通識課程／校級選修,105,管理學,整開,000348071,管理學,巫敘竹,3.0,三234,商館260106,必修,企管系,中文,＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之必修生優先。巫敘竹老師授課。,https://newdoc.nccu.edu.tw/teaschm/1051/schmPrv.jsp-yy=105&smt=1&num=000348&gop=07&s=1.html,https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=647341457144776832716A383444556951487A5767513D3D,"{""core"":""否"",""emiType"":""否"",""far"":""無資料"",""gdeTpe"":""是"",""gdeTpeMsg"":""(適用於108學年度前入學的學生)"",""gdeType"":""學士班"",""info"":""＠異動資訊:無"",""isTrace"":""0"",""langTpe"":""中文"",""lmtKind"":""社會通識"",""note"":""＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之必修生優先。巫敘竹老師授課。"",""pay"":""免費"",""s"":""1"",""smtQty"":""單學期科目"",""subClassroom"":""商館260106"",""subGde"":""企管系"",""subKind"":""必修"",""subLocUrl"":""https://sgnweb.nccu.edu.tw/mnccuqa/NCCU_MAP-gh-pages/NCCU_MAP-gh-pages/index.html?roomid=260106"",""subNam"":""管理學"",""subNum"":""000348071"",""subOdr"":""309"",""subPoint"":""3.0"",""subRemainUrl"":""https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=647341457144776832716A383444556951487A5767513D3D"",""subSetUrl"":""https://newdoc.nccu.edu.tw/teaschm/1051/setC.jsp-yy=105&smt=1&num=000348&gop=07&s=1&willtpe=1.htm"",""subTime"":""三234"",""subUnitRuleUrl"":""https://newdoc.nccu.edu.tw/generalcourse/emptyforqry.htm"",""teaExpUrl"":""https://newdoc.nccu.edu.tw/teaschm/1051/teaExpC.jsp-yy=105&smt=1&num=000348&gop=07&s=1.htm"",""teaNam"":""巫敘竹"",""teaSchmUrl"":""https://newdoc.nccu.edu.tw/teaschm/1051/schmPrv.jsp-yy=105&smt=1&num=000348&gop=07&s=1.html"",""tranTpe"":""一般"",""y"":""105""}",2026-08-26T17:51:35+00:00
1051,01,整開／通識課程／校級選修,105,管理學,整開,000348091,管理學,李俊德,3.0,五234,商館260105,必修,企管系,中文,＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之必修生優先。,https://newdoc.nccu.edu.tw/teaschm/1051/schmPrv.jsp-yy=105&smt=1&num=000348&gop=09&s=1.html,https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=6473414571447768327168512B5177652F4A716155413D3D,"{""core"":""否"",""emiType"":""否"",""far"":""無資料"",""gdeTpe"":""是"",""gdeTpeMsg"":""(適用於108學年度前入學的學生)"",""gdeType"":""學士班"",""info"":""＠異動資訊:無"",""isTrace"":""0"",""langTpe"":""中文"",""lmtKind"":""社會通識"",""note"":""＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之必修生優先。"",""pay"":""免費"",""s"":""1"",""smtQty"":""單學期科目"",""subClassroom"":""商館260105"",""subGde"":""企管系"",""subKind"":""必修"",""subLocUrl"":""https://sgnweb.nccu.edu.tw/mnccuqa/NCCU_MAP-gh-pages/NCCU_MAP-gh-pages/index.html?roomid=260105"",""subNam"":""管理學"",""subNum"":""000348091"",""subOdr"":""509"",""subPoint"":""3.0"",""subRemainUrl"":""https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=6473414571447768327168512B5177652F4A716155413D3D"",""subSetUrl"":""https://newdoc.nccu.edu.tw/teaschm/1051/setC.jsp-yy=105&smt=1&num=000348&gop=09&s=1&willtpe=1.htm"",""subTime"":""五234"",""subUnitRuleUrl"":""https://newdoc.nccu.edu.tw/generalcourse/emptyforqry.htm"",""teaExpUrl"":""https://newdoc.nccu.edu.tw/teaschm/1051/teaExpC.jsp-yy=105&smt=1&num=000348&gop=09&s=1.htm"",""teaNam"":""李俊德"",""teaSchmUrl"":""https://newdoc.nccu.edu.tw/teaschm/1051/schmPrv.jsp-yy=105&smt=1&num=000348&gop=09&s=1.html"",""tranTpe"":""一般"",""y"":""105""}",2026-08-26T17:51:35+00:00
1051,01,整開／通識課程／校級選修,105,管理學,整開,000348101,管理學,楊昇翰,3.0,四EFG,商館260312,必修,企管系,中文,＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之必修生優先。,https://newdoc.nccu.edu.tw/teaschm/1051/schmPrv.jsp-yy=105&smt=1&num=000348&gop=10&s=1.html,https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=6473414571447768327167622B43446177694D3443773D3D,"{""core"":""否"",""emiType"":""否"",""far"":""無資料"",""gdeTpe"":""是"",""gdeTpeMsg"":""(適用於108學年度前入學的學生)"",""gdeType"":""學士班"",""info"":""＠異動資訊:無"",""isTrace"":""0"",""langTpe"":""中文"",""lmtKind"":""社會通識"",""note"":""＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之必修生優先。"",""pay"":""免費"",""s"":""1"",""smtQty"":""單學期科目"",""subClassroom"":""商館260312"",""subGde"":""企管系"",""subKind"":""必修"",""subLocUrl"":""https://sgnweb.nccu.edu.tw/mnccuqa/NCCU_MAP-gh-pages/NCCU_MAP-gh-pages/index.html?roomid=260312"",""subNam"":""管理學"",""subNum"":""000348101"",""subOdr"":""418"",""subPoint"":""3.0"",""subRemainUrl"":""https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=6473414571447768327167622B43446177694D3443773D3D"",""subSetUrl"":""https://newdoc.nccu.edu.tw/teaschm/1051/setC.jsp-yy=105&smt=1&num=000348&gop=10&s=1&willtpe=1.htm"",""subTime"":""四EFG"",""subUnitRuleUrl"":""https://newdoc.nccu.edu.tw/generalcourse/emptyforqry.htm"",""teaExpUrl"":""https://newdoc.nccu.edu.tw/teaschm/1051/teaExpC.jsp-yy=105&smt=1&num=000348&gop=10&s=1.htm"",""teaNam"":""楊昇翰"",""teaSchmUrl"":""https://newdoc.nccu.edu.tw/teaschm/1051/schmPrv.jsp-yy=105&smt=1&num=000348&gop=10&s=1.html"",""tranTpe"":""一般"",""y"":""105""}",2026-08-26T17:51:35+00:00
