subNum,subNam,departmentCode,departmentName,registeredCount,remainingSeats,waitingCount,maximumLimit,isFull,addable,remainUpdatedAt,status
000348001,管理學,105,管理學,,,0,,,true,2026-08-31T21:38:53+08:00,ok
000348011,管理學,105,管理學,,,0,,,true,2026-08-31T21:38:53+08:00,ok
000348021,管理學,105,管理學,,,0,,,true,2026-08-31T21:38:53+08:00,ok
000348031,管理學,105,管理學,,,0,,,true,2026-08-31T21:38:53+08:00,ok
000348041,管理學,105,管理學,,,0,,,true,2026-08-31T21:38:53+08:00,ok
000348051,管理學,105,管理學,,,0,,,true,2026-08-31T21:38:53+08:00,ok
000219011,經濟學,107,經濟學,,,0,,,true,2026-08-31T21:38:53+08:00,ok
000219021,經濟學,107,經濟學,,,0,,,true,2026-08-31T21:38:53+08:00,ok
000219031,經濟學,107,經濟學,,,0,,,true,2026-08-31T21:38:53+08:00,ok
000219041,經濟學,107,經濟學,,,0,,,true,2026-08-31T21:38:53+08:00,ok
000219051,經濟學,107,經濟學,,,0,,,true,2026-08-31T21:38:53+08:00,ok
000219081,經濟學,107,經濟學,,,0,,,true,2026-08-31T21:38:53+08:00,ok
000219111,經濟學,107,經濟學,,,0,,,true,2026-08-31T21:38:53+08:00,ok
000219511,經濟學,107,經濟學,,,0,,,true,2026-08-31T21:38:53+08:00,ok
000219521,經濟學,107,經濟學,,,0,,,true,2026-08-31T21:38:53+08:00,ok
000219541,經濟學,107,經濟學,,,0,,,true,2026-08-31T21:38:53+08:00,ok
000219551,經濟學,107,經濟學,,,0,,,true,2026-08-31T21:38:53+08:00,ok
000219561,經濟學,107,經濟學,,,0,,,true,2026-08-31T21:38:53+08:00,ok
000219571,經濟學,107,經濟學,,,0,,,true,2026-08-31T21:38:53+08:00,ok
000219581,經濟學,107,經濟學,,,0,,,true,2026-08-31T21:38:53+08:00,ok
000350021,行銷管理,109,行銷管理,,,0,,,false,2026-08-31T21:38:53+08:00,ok
000350031,行銷管理,109,行銷管理,,,0,,,false,2026-08-31T21:38:53+08:00,ok
000350041,行銷管理,109,行銷管理,,,0,,,true,2026-08-31T21:38:53+08:00,ok
000229001,社會學,111,社會學,,,0,,,true,2026-08-31T21:38:53+08:00,ok
000314011,初級會計學（一）,113,初級會計學（一）,,,0,,,true,2026-08-31T21:38:53+08:00,ok
000314021,初級會計學（一）,113,初級會計學（一）,,,0,,,true,2026-08-31T21:38:53+08:00,ok
000314031,初級會計學（一）,113,初級會計學（一）,,,0,,,true,2026-08-31T21:38:53+08:00,ok
000314041,初級會計學（一）,113,初級會計學（一）,,,0,,,true,2026-08-31T21:38:53+08:00,ok
000314051,初級會計學（一）,113,初級會計學（一）,,,0,,,true,2026-08-31T21:38:53+08:00,ok
000314061,初級會計學（一）,113,初級會計學（一）,,,0,,,true,2026-08-31T21:38:53+08:00,ok
000314071,初級會計學（一）,113,初級會計學（一）,,,0,,,true,2026-08-31T21:38:53+08:00,ok
000314081,初級會計學（一）,113,初級會計學（一）,,,0,,,true,2026-08-31T21:38:53+08:00,ok
000314091,初級會計學（一）,113,初級會計學（一）,,,0,,,true,2026-08-31T21:38:53+08:00,ok
000314101,初級會計學（一）,113,初級會計學（一）,,,0,,,true,2026-08-31T21:38:53+08:00,ok
000314111,初級會計學（一）,113,初級會計學（一）,,,0,,,true,2026-08-31T21:38:53+08:00,ok
000314121,初級會計學（一）,113,初級會計學（一）,,,0,,,true,2026-08-31T21:38:53+08:00,ok
000314131,初級會計學（一）,113,初級會計學（一）,,,0,,,true,2026-08-31T21:38:53+08:00,ok
000314141,初級會計學（一）,113,初級會計學（一）,,,0,,,true,2026-08-31T21:38:53+08:00,ok
000318011,初級會計學（二）,114,初級會計學（二）,,,0,,,true,2026-08-31T21:38:53+08:00,ok
000323011,中級會計學（一）,115,中級會計學（一）,,,0,,,true,2026-08-31T21:38:53+08:00,ok
000323021,中級會計學（一）,115,中級會計學（一）,,,0,,,true,2026-08-31T21:38:53+08:00,ok
000323031,中級會計學（一）,115,中級會計學（一）,,,0,,,true,2026-08-31T21:38:53+08:00,ok
