id,name,teacher,day,slots,credit,isBase,isLang,CourseNumber,program,isSmr
1001001,商事法總論,林國全,6,D|5|6,3,False,False,961003001,法碩專班,False
1001002,法學英文,張冠群,4,F|G|H,3,False,True,961005001,法碩專班,False
1001003,民事訴訟法,姜世明,5,F|G|H,3,True,False,961006001,法碩專班,False
1001004,行政法專題研究,劉宗德,1,F|G|H,3,False,False,961007001,法碩專班,False
1001005,法學科際整合導論（一）,江玉林、林佳和、林國全、姜世明、劉定基、謝如媛,6,F|G|H,0,False,False,961008001,法碩專班,False
1001006,憲法專題研究,廖元豪,6,2|3|4,3,False,False,961010001,法碩專班,False
1001007,刑法總則,李聖傑、陳志輝、謝如媛,5,F|G|H,3,True,False,961011001,法碩專班,False
1001008,民法總則,吳瑾瑜、楊芳賢,6,2|3|4,3,True,False,961012001,法碩專班,False
1001009,憲法,林佳和,6,D|5|6,3,True,False,961013001,法碩專班,False
1001010,法學導論,王曉丹、陳惠馨、劉宏恩,3,F|G|H,3,True,False,961014001,法碩專班,False
1001011,民法債編各論,王千維、楊淑文,6,2|3|4,3,True,False,961015001,法碩專班,False
1001012,證券交易法專題研究,劉連煜,3,F|G|H,3,False,False,961018001,法碩專班,False
1001013,國際貿易法專題研究,許耀明,4,F|G|H,3,False,False,961031001,法碩專班,False
1001014,刑法專題研究,李聖傑、陳志輝,2,F|G|H,3,False,False,961032001,法碩專班,False
1001015,法學日文,劉宗德,1,F|G|H,3,False,False,961033001,法碩專班,False
1001016,勞動法專題研究,林良榮、黃程貫,3,F|G|H,3,False,False,961034001,法碩專班,False
1001017,法律與文化專題研究,江玉林、陳起行,6,D|5|6,3,False,False,961035001,法碩專班,False
1001018,行政救濟法專題研究,吳秦雯,2,F|G|H,3,False,False,961036001,法碩專班,False
1001019,公法案例研習,廖元豪,6,2|3|4,3,False,False,961037001,法碩專班,False
1001101,智慧財產權法專題研究（二）,沈宗倫,2,7|8,2,False,False,651011001,法律系碩士班,False
1001102,行政法專題研究（五）,劉定基,3,7|8,2,False,False,651012001,法律系碩士班,False
1001103,公司法專題研究（四）,賴源河,4,3|4,2,False,False,651021001,法律系碩士班,False
1001104,英文法學名著選讀（二）,朱德芳,1,5|6,2,False,True,651049001,法律系碩士班,False
1001105,行政法專題研究（七）,劉宗德,4,5|6,2,False,False,651085001,法律系碩士班,False
1001106,民事訴訟法專題研究（二）,姜世明,2,D|5,2,False,False,651126001,法律系碩士班,False
1001107,勞動基準法專題研究（三）,黃程貫,1,5|6,2,False,False,651163001,法律系碩士班,False
1001108,日文法學名著選讀（八）,林國全,4,7|8,2,False,True,651178001,法律系碩士班,False
1001109,民事程序法專題研究（三）,陳計男,4,5|6,2,False,False,651218001,法律系碩士班,False
1001110,保險法專題研究（一）,林勳發,2,3|4,2,False,False,651221001,法律系碩士班,False
1001111,身分法專題研究（三）,林秀雄,5,5|6,2,False,False,651235001,法律系碩士班,False
1001112,法制史專題研究（二）,陳惠馨,5,2|3|4,3,False,False,651236001,法律系碩士班,False
1001113,身分法專題研究（四）,王海南,3,5|6,2,False,False,651237001,法律系碩士班,False
1001114,國際私法專題研究（一）,王海南,3,7|8,2,False,False,651238001,法律系碩士班,False
1001115,刑事訴訟法專題研究（二）,楊雲驊,2,5|6,2,False,False,651239001,法律系碩士班,False
1001116,社會法專題研究（二）,郭明政,1,7|8,2,False,False,651247001,法律系碩士班,False
1001117,國際公法專題研究（二）,陳貞如,2,7|8,2,False,False,651249001,法律系碩士班,False
1001118,德文法學名著選讀 （三）,林佳和,4,7|8,2,False,True,651278001,法律系碩士班,False
1001119,契約法專題研究（三）,楊淑文,3,7|8,2,False,False,651301001,法律系碩士班,False
1001120,西洋法律思想史專題研究（三）,江玉林,5,D|5|6,3,False,False,651312001,法律系碩士班,False
1001121,契約法專題研究（四）,楊淑文,3,5|6,2,False,False,651313001,法律系碩士班,False
1001122,超國界法律問題專題研究（二）,陳長文,1,7|8,2,False,False,651315001,法律系碩士班,False
1001123,刑法專題研究（五）,陳志輝,3,5|6|7,3,False,False,651326001,法律系碩士班,False
